id;cost;status
90;591324.993326;0.000000
91;653383.812547;0.000000
92;721838.506793;0.000000
93;794316.134867;0.000000
94;444098.387960;0.000000
95;42869.017505;0.000000
96;41116.816622;0.000000
97;278067.939702;0.000000
98;381592.955877;0.000000
99;358569.148536;0.000000
100;334787.062817;0.000000
101;309952.174870;0.000000
102;285467.749301;0.000000
103;262169.201372;0.000000
104;240273.647651;0.000000
105;219845.289803;0.000000
106;200883.549516;0.000000
107;183352.019059;0.000000
108;167192.939789;0.000000
109;152336.009241;0.000000
110;165617.084515;0.000000
111;180576.267840;0.000000
112;197290.623444;0.000000
113;215913.544064;0.000000
114;236612.600715;0.000000
115;259569.226629;0.000000
116;280184.705327;0.000000
117;309014.462190;0.000000
118;340667.521632;0.000000
119;375352.357588;0.000000
120;413250.156262;0.000000
121;397504.882419;0.000000
122;436433.756648;0.000000
123;477952.092005;0.000000
124;521200.305236;0.000000
125;564067.877095;0.000000
126;601750.153392;0.000000
127;624968.682562;0.000000
128;623460.872980;0.000000
129;685580.680288;0.000000
130;679240.275594;0.000000
131;663146.397279;0.000000
132;627431.209866;0.000000
133;582020.989935;0.000000
134;574483.091909;0.000000
135;571518.264404;0.000000
136;621720.850139;0.000000
137;646892.528266;0.000000
138;712476.305117;0.000000
139;673117.291328;0.000000
140;723221.989999;0.000000
141;426464.908163;0.000000
142;201.756309;0.000000
143;255731.522882;0.000000
144;357350.158491;0.000000
145;405322.485483;0.000000
146;378224.480786;0.000000
147;351301.574323;0.000000
148;324515.942336;0.000000
149;298329.550015;0.000000
150;273403.880078;0.000000
151;250028.617397;0.000000
152;228293.558805;0.000000
153;208194.274181;0.000000
154;189679.260800;0.000000
155;172672.585177;0.000000
156;157086.033373;0.000000
157;163076.404192;0.000000
158;177658.207825;0.000000
159;193911.099127;0.000000
160;211971.297939;0.000000
161;231983.519309;0.000000
162;254098.862206;0.000000
163;273722.436564;0.000000
164;301257.071811;0.000000
165;289746.417177;0.000000
166;318282.963641;0.000000
167;349123.892277;0.000000
168;382186.035569;0.000000
169;417182.752479;0.000000
170;453461.434077;0.000000
171;489717.258678;0.000000
172;523532.668151;0.000000
173;550858.901217;0.000000
174;566236.157232;0.000000
175;565276.804666;0.000000
176;548289.191722;0.000000
177;614893.246431;0.000000
178;603786.020975;0.000000
179;579817.314646;0.000000
180;543499.147127;0.000000
181;535588.408575;0.000000
182;567516.879467;0.000000
183;613151.113437;0.000000
184;661943.457933;0.000000
185;586000.961584;0.000000
