Longitude;Latitude;Diplodus_sargus_sargus;Mullus_surmuletus
-2.29;36.71;0;1
-2.29;36.81;1;1
-2.19;35.11;1;1
-2.19;35.21;0;0
-2.19;35.31;0;0
-2.19;35.41;0;0
-2.19;35.51;0;0
-2.19;35.61;0;0
-2.19;35.71;0;0
-2.19;35.81;0;0
-2.19;35.91;0;0
-2.19;36.01;0;0
-2.19;36.11;0;0
-2.19;36.21;0;0
-2.19;36.31;0;0
-2.19;36.41;0;0
-2.19;36.51;0;0
-2.19;36.61;0;0
-2.19;36.71;1;1
-2.09;35.11;1;1
-2.09;35.21;0;0
-2.09;35.31;0;0
-2.09;35.41;0;0
-2.09;35.51;0;0
-2.09;35.61;0;0
-2.09;35.71;0;0
-2.09;35.81;0;0
-2.09;35.91;0;0
-2.09;36.01;0;0
-2.09;36.11;0;0
-2.09;36.21;0;0
-2.09;36.31;0;0
-2.09;36.41;0;0
-2.09;36.51;0;0
-2.09;36.61;0;0
-2.09;36.71;1;1
-2.09;36.81;1;1
-1.99;35.11;1;1
-1.99;35.21;0;0
-1.99;35.31;0;0
-1.99;35.41;0;0
-1.99;35.51;0;0
-1.99;35.61;0;0
-1.99;35.71;0;0
-1.99;35.81;0;0
-1.99;35.91;0;0
-1.99;36.01;0;0
-1.99;36.11;0;0
-1.99;36.21;0;0
-1.99;36.31;0;0
-1.99;36.41;0;0
-1.99;36.51;0;0
-1.99;36.61;0;0
-1.99;36.71;0;0
-1.99;36.81;0;1
-1.99;36.91;1;1
-1.89;35.11;0;1
-1.89;35.21;0;0
-1.89;35.31;0;0
-1.89;35.41;0;0
-1.89;35.51;0;0
-1.89;35.61;0;0
-1.89;35.71;0;0
-1.89;35.81;0;0
-1.89;35.91;0;0
-1.89;36.01;0;0
-1.89;36.11;0;0
-1.89;36.21;0;0
-1.89;36.31;0;0
-1.89;36.41;0;0
-1.89;36.51;0;0
-1.89;36.61;0;0
-1.89;36.71;0;0
-1.89;36.81;0;0
-1.89;36.91;1;1
-1.89;37.01;1;1
-1.89;37.11;1;1
-1.79;35.11;1;1
-1.79;35.21;0;1
-1.79;35.31;0;0
-1.79;35.41;0;0
-1.79;35.51;0;0
-1.79;35.61;0;0
-1.79;35.71;0;0
-1.79;35.81;0;0
-1.79;35.91;0;0
-1.79;36.01;0;0
-1.79;36.11;0;0
-1.79;36.21;0;0
-1.79;36.31;0;0
-1.79;36.41;0;0
-1.79;36.51;0;0
